Last_Update,OBJECTID,name,lat,long,size,Deaths,Recovered
2020/05/09 22:32:32+00,2,Austria,47.5162,14.5501,15833,615,13928
2020/05/09 22:32:32+00,6,Finland,61.9241,25.7482,5880,265,4000
2020/05/09 22:32:32+00,11,Italy,41.8719,12.5674,218268,30395,103031
2020/05/09 22:32:32+00,15,Sweden,60.1282,18.6435,25921,3220,4971
2020/05/09 22:32:32+00,20,Albania,41.1533,20.1683,856,31,627
2020/05/09 22:32:32+00,23,Angola,-11.2027,17.8739,43,2,13
2020/05/09 22:32:32+00,26,Armenia,40.0691,45.0382,3175,44,1267
2020/05/09 22:32:32+00,27,Azerbaijan,40.1431,47.5769,2422,31,1620
2020/05/09 22:32:32+00,29,Bahrain,26.0275,50.55,4774,8,2055
2020/05/09 22:32:32+00,32,Belarus,53.7098,27.9534,22052,126,6050
2020/05/09 22:32:32+00,38,Bosnia and Herzegovina,43.9159,17.6791,2090,102,1059
2020/05/09 22:32:32+00,39,Botswana,-22.3285,24.6849,23,1,12
2020/05/09 22:32:32+00,42,Bulgaria,42.7339,25.4858,1921,90,422
2020/05/09 22:32:32+00,45,Burundi,-3.3731,29.9189,15,1,7
2020/05/09 22:32:32+00,48,Cameroon,3.848,11.5021,2274,108,1232
2020/05/09 22:32:32+00,49,Central African Republic,6.6111,20.9394,143,0,10
2020/05/09 22:32:32+00,50,Chad,15.4542,18.7322,322,31,53
2020/05/09 22:32:32+00,53,Comoros,-11.6455,43.3333,11,1,0
2020/05/09 22:32:32+00,54,Congo (Brazzaville),-4.2634,15.2832,274,10,33
2020/05/09 22:32:32+00,55,Congo (Kinshasa),-4.322447,15.307045,937,39,130
2020/05/09 22:32:32+00,58,Croatia,45.1,15.2,2176,87,1726
2020/05/09 22:32:32+00,60,Cyprus,35.1264,33.4299,892,15,401
2020/05/09 22:32:32+00,61,Czechia,49.8175,15.473,8089,276,4446
2020/05/09 22:32:32+00,63,Djibouti,11.8251,42.5903,1189,3,834
2020/05/09 22:32:32+00,67,Egypt,26.820553,30.802498,8964,514,2002
2020/05/09 22:32:32+00,70,Eritrea,15.1794,39.7823,39,0,37
